Disease	Disease name	# genes in disgenet and network	# genes in network	# genes in total
C0264303	laryngomalacia	11	11	11
C4025819	abnormality of the hypothalamus-pituitary axis	11	11	12
C0948740	pituitary hypoplasia	11	11	12
C0019829	hodgkin disease	11	11	12
C0431380	cortical dysplasia	11	11	12
C0002896	sideroblastic anemia	11	11	11
C3887524	skin erosion	11	11	11
C0015923	fetal alcohol syndrome	11	11	14
C0014038	encephalitis	11	11	11
C0020626	hypoparathyroidism	11	11	13
C0007102	malignant tumor of colon	11	11	11
C0376358	malignant neoplasm of prostate	11	11	11
C0030293	pancreatic insufficiency	11	11	13
C0007120	bronchioloalveolar adenocarcinoma	11	11	11
C0042345	varicosity	11	11	12
C4020867	persistant truncus arteriosus	11	11	15
C0751466	phonophobia	11	11	11
C1442988	rudimentary vagina	11	11	12
C0685891	congenital hypoplasia of thymus	11	11	12
C3665349	secondary hypothyroidism	11	11	12
C0553723	squamous cell carcinoma of skin	11	11	11
C0003486	aortic aneurysm	10	10	10
C0340543	familial primary pulmonary hypertension	10	10	10
C0020179	huntington disease	10	10	12
C0020545	hypertension, renovascular	10	10	10
C0948187	tracheomalacia	10	10	10
C0431448	absent eyebrow	10	10	11
C0085606	urgency of micturition	10	10	12
C0699791	stomach carcinoma	10	10	10
C0023798	lipoma	10	10	10
C4025860	hearing abnormality	10	10	12
C0221209	pelvic kidney	10	10	10
C0266011	accessory nipple	10	10	11
C0008325	cholecystitis	10	10	11
C0268307	conjugated hyperbilirubinemia	10	10	14
C0338502	hypoplasia of the optic nerve	10	10	15
C0008677	bronchitis, chronic	10	10	12
C0085681	hyperphosphatemia (disorder)	10	10	14
C0006845	candidiasis, chronic mucocutaneous	10	10	11
C0338715	drug-induced depressive state	10	10	13
C0004106	astigmatism	10	10	19
C0431363	alobar holoprosencephaly	10	10	12
C1856266	coronal craniosynostosis	10	10	12
C0267812	micronodular cirrhosis	10	10	11
C3544092	urgency frequency syndrome	10	10	12
C0578682	madarosis of eyebrow	10	10	11
C0156273	bladder diverticulum	10	10	10
C0344539	hypoplasia of iris	10	10	10
C0014474	ependymoma	10	10	12
C0521620	dilatation of ureter	10	10	14
C1800706	idiopathic pulmonary fibrosis	10	10	12
C0238288	muscular dystrophy, facioscapulohumeral	10	10	10
C0151311	cranial nerve palsies	10	10	11
C0011206	delirium	10	10	10
C0432103	submucous cleft of hard palate	10	10	10
C1851792	aplasia/hypoplasia of the earlobes	10	10	10
C0010308	congenital hypothyroidism	10	10	12
C0032580	adenomatous polyposis coli	10	10	12
C2676676	breast-ovarian cancer, familial, susceptibility to, 1	10	10	11
C3501843	nonmedullary thyroid carcinoma	10	10	10
C0085612	ventricular arrhythmia	10	10	10
C0017574	gingivitis	10	10	10
C0424296	social disinhibition	10	10	13
C0854107	haemorrhage subcutaneous	10	10	10
C0085581	restrictive lung disease	10	10	10
C1319853	asthma, aspirin-induced	10	10	13
C0018213	graves disease	10	10	10
C0334634	malignant lymphoma, lymphocytic, intermediate differentiation, diffuse	10	10	11
C4025763	abnormality of the rib cage	10	10	12
C4020898	overactive bladder syndrome	10	10	12
C0334013	phrynoderma	10	10	11
C0005937	bone cysts	10	10	12
C0034372	quadriplegia	10	10	10
C0003119	anophthalmos	10	10	12
C0020502	hyperparathyroidism	10	10	10
C0751617	semilobar holoprosencephaly	10	10	12
C0155552	hearing loss, mixed conductive-sensorineural	10	10	11
C4024748	aplasia/hypoplasia of the iris	9	9	10
C0027404	narcolepsy	9	9	16
C1403035	subcutaneous lipomas	9	9	9
C4021395	abnormality of the antihelix	9	9	10
C4025821	anterior hypopituitarism	9	9	16
C4021254	cutaneous finger syndactyly	9	9	10
C0271901	microcytic hypochromic anemia (disorder)	9	9	10
C1853235	sclerocornea	9	9	14
C3496069	cocaine use	9	9	10
C0403553	renal dysplasia and retinal aplasia (disorder)	9	9	10
C0003850	arteriosclerosis	9	9	11
C0340643	dissection of aorta	9	9	9
C0025988	microglossia	9	9	9
C0266387	bicornuate uterus	9	9	11
C0037926	compression of spinal cord	9	9	10
C1842878	short fifth finger	9	9	9
C0920299	overriding toe	9	9	9
C1328931	multiple lentigines	9	9	10
C0334092	hamartomatous polyp	9	9	9
C0158734	polydactyly of toes	9	9	10
C0151468	thyroid gland follicular adenoma	9	9	9
C4020958	rough bone trabeculation	9	9	10
C4025750	abnormality of the nasopharynx	9	9	9
C0010674	cystic fibrosis	9	9	9
C0473527	hypoalphalipoproteinemias	9	9	10
C1446712	overlapping fingers	9	9	10
C0452138	sensorineural hearing loss, bilateral	9	9	10
C0266539	congenital total cataract	9	9	14
C0032209	platybasia	9	9	10
C0265202	seckel syndrome	9	9	9
C0162429	malnutrition	9	9	11
C1142166	brugada syndrome (disorder)	9	9	15
C0020595	hypoaldosteronism	9	9	12
C3277418	gastrointestinal hamartomatous polyps	9	9	9
C3714757	juvenile rheumatoid arthritis	9	9	10
C0154676	organic writer's cramp	9	9	9
C0393525	progressive cerebellar ataxia	9	9	11
C0206733	strawberry nevus of skin	9	9	9
C4021790	abnormality of the skeletal system	9	9	11
C0751883	congenital myasthenic syndromes, postsynaptic	9	9	10
C3665596	warts	9	9	10
C0392476	epiphyseal dysplasia	9	9	13
C0745103	hyperlipoproteinemia type iia	9	9	10
C0162809	kallmann syndrome	9	9	19
C0520743	mediastinal lymphadenopathy	9	9	10
C0086795	pfaundler-hurler syndrome	9	9	12
C0175702	williams syndrome	9	9	9
C0020514	hyperprolactinemia	9	9	9
C0079154	congenital nonbullous ichthyosiform erythroderma	9	9	16
C0003499	supravalvular aortic stenosis	9	9	9
C0431863	carpal synostosis	9	9	11
C4280666	triangular head shape	9	9	10
C4280665	wedge shaped head	9	9	10
C1865866	congenital sensorineural hearing loss	9	9	11
C0271390	nystagmus, end-position	9	9	9
C0345397	accessory rib	9	9	10
C0265535	trigonocephaly	9	9	10
C0268362	osteogenesis imperfecta type iii (disorder)	9	9	10
C0393706	early infantile epileptic encephalopathy with suppression bursts	9	9	10
C0241397	triphalangeal thumb	9	9	9
C0342276	maturity onset diabetes mellitus in young	9	9	10
C0002874	aplastic anemia	9	9	11
C4020969	inflammatory abnormality of the eye	9	9	10
C0265965	dyskeratosis congenita	9	9	9
C0020455	hypergammaglobulinemia	9	9	9
C0030044	acrocephaly	9	9	10
C0238669	aortic root dilatation	9	9	11
C0270846	epileptic drop attack	9	9	10
C1563720	kallmann syndrome 2 (disorder)	9	9	17
C0011848	diabetes insipidus	9	9	10
C0042164	uveitis	9	9	12
C0853193	bipolar i disorder	9	9	15
C0338451	frontotemporal dementia	9	9	10
C0085109	corneal neovascularization	9	9	11
C0033375	prolactinoma	9	9	9
C0024796	marfan syndrome	9	9	9
C4021972	urogenital sinus anomaly	9	9	12
C0033937	psychoses, drug	9	9	9
C0409354	flexion contracture of hip	9	9	9
C0010043	corneal ulcer	9	9	13
C3536741	discordant ventriculoarterial connection	9	9	17
C0265654	tarsal coalition	9	9	11
C0036651	senile lentigo	9	9	10
C0162316	iron deficiency anemia	9	9	10
C4021664	abnormality of the abdominal wall	8	8	8
C0271388	pendular nystagmus	8	8	12
C0271385	horizontal nystagmus	8	8	9
C0034888	rectal prolapse	8	8	8
C0266427	testicular regression syndrome	8	8	8
C2112129	postaxial foot polydactyly	8	8	12
C0410264	contracture of tendo achilles	8	8	8
C0005283	beta thalassemia	8	8	9
C0431371	absence of septum pellucidum	8	8	10
C1861329	spinal canal stenosis	8	8	12
C0221480	recurrent depression	8	8	9
C0949658	cardiomyopathy, hypertrophic, familial	8	8	8
C0158733	hand polydactyly	8	8	10
C0080024	piebaldism	8	8	8
C0014390	entropion	8	8	8
C0037221	situs inversus	8	8	17
C0575059	spastic tetraparesis	8	8	10
C3164445	abnormality of aortic valve	8	8	9
C0013575	ectodermal dysplasia	8	8	12
C0271183	severe myopia	8	8	18
C0338503	septo-optic dysplasia	8	8	11
C0020617	hypoglycemic coma	8	8	9
C0476254	dyslexia	8	8	9
C0432211	spondyloepimetaphyseal disorder	8	8	8
C0917990	acro-osteolysis	8	8	9
C0008311	cholangitis	8	8	9
C0751003	brain aneurysm	8	8	8
C0002949	aneurysm, dissecting	8	8	8
C0553580	ewings sarcoma	8	8	8
C1301509	severe visual impairment	8	8	14
C0004245	atrioventricular block	8	8	10
C0019061	hemolytic-uremic syndrome	8	8	9
C1833118	cataract, pulverulent	8	8	11
C0035067	renal artery stenosis	8	8	8
C0455988	hydrops fetalis, non-immune	8	8	8
C0012739	disseminated intravascular coagulation	8	8	9
C1864205	macular degeneration, age-related, 1	8	8	9
C0014868	esophagitis	8	8	9
C4025892	abnormality of the labia	8	8	8
C4025895	abnormality of the scrotum	8	8	8
C0155299	coloboma of optic disc	8	8	8
C0010036	corneal dystrophy	8	8	13
C0236663	alcohol withdrawal syndrome	8	8	10
C0162323	polyarthritis	8	8	10
C4022003	erectile abnormalities	8	8	15
C0043346	xeroderma pigmentosum	8	8	8
C0268363	osteogenesis imperfecta type iv (disorder)	8	8	10
C0002726	amyloidosis	8	8	8
C0008372	intrahepatic cholestasis	8	8	12
C0266619	potter's facies	8	8	10
C4020734	nystagmus, continuous pendular	8	8	12
C1333990	hereditary nonpolyposis colorectal cancer	8	8	8
C3150659	breast-ovarian cancer, familial, susceptibility to, 3	8	8	9
C0018553	hamartoma syndrome, multiple	8	8	9
C0022906	lacrimal duct obstruction	8	8	9
C0341703	adult fanconi syndrome	8	8	11
C0085548	autosomal recessive polycystic kidney disease	8	8	8
C0235480	paroxysmal atrial fibrillation	8	8	9
C0030920	peptic ulcer	8	8	8
C0029442	osteomalacia	8	8	11
C0001956	alcohol use disorder	8	8	12
C0032231	pleurisy	8	8	8
C0265275	jeune thoracic dystrophy	8	8	10
C4020865	fibular polydactyly	8	8	12
C4020869	abnormality of the abdomen	8	8	9
C0265213	distal arthrogryposis syndrome	8	8	8
C4025723	abnormal upper motor neuron morphology	8	8	10
C0005587	depression, bipolar	8	8	11
C0520679	sleep apnea, obstructive	8	8	9
C1290398	cerebral arterial aneurysm	8	8	8
C0344724	ostium secundum atrial septal defect	8	8	9
C4022996	abnormal sex determination	8	8	9
C4025788	nystagmus-induced head nodding	8	8	9
C0339573	glaucoma, primary open angle	8	8	8
C0035828	romano-ward syndrome	8	8	11
C2700553	omenn syndrome	8	8	8
C0162872	aortic aneurysm, thoracic	8	8	8
C0003857	congenital arteriovenous malformation	8	8	8
C0013238	dry eye syndromes	7	7	7
C0399440	hereditary gingival fibromatosis	7	7	7
C0036202	sarcoidosis	7	7	9
C0005747	blepharospasm	7	7	8
C0026987	myelofibrosis	7	7	8
C0346153	breast cancer, familial	7	7	8
C0017665	membranous glomerulonephritis	7	7	7
C0018790	cardiac arrest	7	7	9
C0002452	amelogenesis imperfecta	7	7	12
C0013902	elliptocytosis, hereditary	7	7	9
C0268747	diffuse mesangial sclerosis (disorder)	7	7	7
C1855675	arima syndrome	7	7	7
C2675520	breast-ovarian cancer, familial, susceptibility to, 2	7	7	8
C0038644	sudden infant death syndrome	7	7	8
C0346647	malignant neoplasm of pancreas	7	7	8
C0012236	digeorge syndrome	7	7	9
C0266037	peg-shaped teeth	7	7	8
C0149958	complex partial seizures	7	7	9
C0020639	hypoproteinemia	7	7	8
C0340375	subaortic stenosis	7	7	9
C0262587	parathyroid adenoma	7	7	7
C4018860	pituitary growth hormone cell adenoma	7	7	7
C1411876	developmental arithmetic disorder	7	7	8
C0206669	hepatocellular adenoma	7	7	7
C0220633	uveal melanoma	7	7	8
C0151747	renal tubular disorder	7	7	12
C0155119	recurrent erosion of cornea	7	7	11
C0549306	mesomelia	7	7	8
C4020872	cranial nerve abnormality	7	7	7
C0268237	cytochrome-c oxidase deficiency	7	7	10
C1258215	ileus	7	7	7
C0031039	pericardial effusion	7	7	7
C0454455	mirror movements disorder	7	7	7
C0040261	onychomycosis	7	7	8
C0409495	protrusio acetabuli	7	7	7
C0270834	complex partial seizure with impairment of consciousness	7	7	9
C2745997	orofaciodigital syndrome vi	7	7	7
C4021822	abnormality of female external genitalia	7	7	8
C0149871	deep vein thrombosis	7	7	8
C1861829	cataract microcornea syndrome	7	7	8
C0014848	esophageal achalasia	7	7	8
C0011644	scleroderma	7	7	7
C0024591	malignant hyperpyrexia due to anesthesia	7	7	9
C0267818	bile duct proliferation	7	7	8
C1704375	hypophosphatemic rickets	7	7	11
C0002902	anencephaly	7	7	7
C0022336	creutzfeldt-jakob disease	7	7	9
C0019880	homocystinuria	7	7	7
C1846707	spinocerebellar ataxia 17	7	7	7
C0344530	congenital keratoglobus	7	7	12
C1274865	scleroderma-like secondary cutaneous sclerosis	7	7	7
C0206731	angiofibroma	7	7	7
C0234533	generalized seizures	7	7	9
C0302885	testicular dysgenesis	7	7	8
C4023577	abnormality of the intrahepatic bile duct	7	7	8
C0004045	asphyxia neonatorum	7	7	7
C0009714	hepatic fibrosis, congenital	7	7	9
C4048273	chorioretinal atrophy	7	7	11
C4022798	abnormal brain fdg positron emission tomography	7	7	9
C1697453	spontaneous haematoma	7	7	8
C0949059	polyp of large intestine	7	7	7
C0027430	nasal polyps	7	7	10
C0003803	arnold chiari malformation	7	7	9
C3152144	agammaglobulinemia 1, autosomal recessive	7	7	7
C0037889	hereditary spherocytosis	7	7	7
C3536734	hypoplastic pelvis	7	7	8
C0334583	pilocytic astrocytoma	7	7	7
C0699743	congenital muscular dystrophy (disorder)	7	7	12
C4020859	pyramidal tract disease	7	7	10
C3489393	hiatal hernia	7	7	7
C0013264	muscular dystrophy, duchenne	7	7	7
C3160718	parkinson disease, late-onset	7	7	10
C2931038	pancreatic carcinoma, familial	7	7	7
C0157917	pauciarticular juvenile rheumatoid arthritis	7	7	8
C0267048	glossoptosis	7	7	8
C4021343	broad hallux phalanx	7	7	8
C0003868	arthritis, gouty	7	7	8
C0221074	depression, postpartum	7	7	7
C4021826	abnormality of the renal tubule	7	7	7
C0002895	anemia, sickle cell	7	7	7
C4021553	periodic hypokalemic paresis	7	7	7
C0016522	foramen ovale, patent	7	7	9
C0036508	seborrheic dermatitis	7	7	11
C3806554	dysseborrheic dermatitis	7	7	11
C1841659	atrioventricular nodal disease	7	7	9
C0235752	port-wine stain	7	7	8
C0345354	radial polydactyly	7	7	8
C4020864	abnormality of the haematopoietic system	7	7	9
C2931322	t-lymphocytopenia	7	7	9
C1854510	abnormality of the cranial nerves	7	7	7
C0003537	aphasia	7	7	8
C0221355	macrocephaly	7	7	7
C0003076	aniridia	7	7	8
C0001916	albinism	7	7	9
C0268621	hepatic methionine adenosyltransferase deficiency	7	7	7
C0877056	hypoglycaemic seizure	7	7	10
C4021761	morphological abnormality of the pyramidal tract	7	7	10
C0040583	tracheal stenosis	7	7	8
C4021975	abnormality of the tonsils	7	7	8
C0205700	asymmetric septal hypertrophy	7	7	7
C0850715	abnormality of blood and blood-forming tissues	7	7	9
C0023075	laryngostenosis	7	7	7
C4025787	skull defect	7	7	8
C0395837	stenosis of external auditory canal	7	7	9
C0344505	alacrima	7	7	8
C0020500	hyperoxaluria	7	7	8
C0270922	peripheral demyelinating neuropathy	7	7	7
C0016049	fibromatosis, gingival	7	7	7
C0028945	oligodendroglioma	7	7	7
C0947912	myasthenias	6	6	7
C1858672	generalized epilepsy with febrile seizures plus, type 1	6	6	6
C0206682	follicular thyroid carcinoma	6	6	7
C0041105	trismus	6	6	6
C1855119	methylmalonic aciduria	6	6	6
C0007384	cataplexy	6	6	9
C0006384	bundle-branch block	6	6	7
C1395852	polydactyly preaxial type 1	6	6	6
C4021020	non-midline cleft lip	6	6	6
C0085669	acute leukemia	6	6	6
C0752323	focal clonic seizures	6	6	6
C0221766	diastasis recti	6	6	7
C0014067	occipital encephalocele	6	6	9
C0027809	neurilemmoma	6	6	6
C0338078	non-functioning pituitary gland neoplasm	6	6	6
C4280572	acute blood cancer	6	6	6
C0043202	wolff-parkinson-white syndrome	6	6	6
C0042454	velopharyngeal insufficiency	6	6	7
C1868684	ear, patella, short stature syndrome	6	6	6
C0859942	hanot's cirrhosis	6	6	8
C0022073	iridocyclitis	6	6	7
C4011788	behavioral variant of frontotemporal dementia	6	6	7
C0206624	hepatoblastoma	6	6	6
C3809811	parkinson disease 19, juvenile-onset	6	6	6
C1321884	atresia of vagina	6	6	8
C0024517	single major depressive episode	6	6	7
C0002982	angioid streaks	6	6	7
C0156312	atrophy of testis	6	6	8
C4021849	conjunctival hamartoma	6	6	6
C0085577	normocytic anemia	6	6	6
C0271844	parathyroid hyperplasia	6	6	6
C4024641	enlarged polycystic ovaries	6	6	9
C0014356	enterocolitis	6	6	6
C2930865	ramer ladda syndrome	6	6	7
C4025901	abnormality of body height	6	6	12
C3163801	abnormality of aortic arch	6	6	7
C0042928	vocal cord paralysis	6	6	6
C1527249	colorectal cancer	6	6	6
C0078917	albinism, ocular	6	6	8
C4021730	junctional split	6	6	6
C2063326	cardiomyopathy, right ventricular	6	6	6
C1833340	synostotic posterior plagiocephaly	6	6	6
C0031900	pierre robin syndrome	6	6	8
C0152132	hypertensive retinopathy	6	6	6
C0342384	idiopathic hypogonadotropic hypogonadism	6	6	9
C1720771	testicular hydrocele	6	6	7
C0025312	meningomyelocele	6	6	6
C1836451	muscle atrophy, lower limb, distal	6	6	7
C0687751	acanthocytosis	6	6	6
C0473133	protracted diarrhea	6	6	6
C4025896	abnormality of the penis	6	6	6
C0162283	nephrogenic diabetes insipidus	6	6	6
C1328840	autoimmune lymphoproliferative syndrome	6	6	6
C4025799	ulnar claw	6	6	6
C0743178	diarrhea, intractable	6	6	6
C0343065	symptomatic dermographism	6	6	7
C2931189	neural crest tumor	6	6	7
C1955934	trichothiodystrophy syndromes	6	6	6
C4020895	genitourinary dysplasia	6	6	6
C4023511	obtundation status	6	6	6
C0030421	paraganglioma	6	6	6
C0521173	granulomatosis	6	6	7
C4022001	abnormality of the cerebral vasculature	6	6	6
C0002171	alopecia areata	6	6	9
C0079153	hyperkeratosis, epidermolytic	6	6	7
C0220704	shprintzen syndrome	6	6	7
C0795907	conotruncal anomaly face syndrome	6	6	7
C0751122	infantile severe myoclonic epilepsy	6	6	7
C0587248	costello syndrome (disorder)	6	6	6
C0334121	inflammatory myofibroblastic tumor	6	6	6
C1275081	cardio-facio-cutaneous syndrome	6	6	6
C1857278	partial or complete agenesis of corpus callosum	6	6	6
C0038016	spondylolisthesis	6	6	7
C4021386	abnormality of the elbow	6	6	6
C0032463	polycythemia vera	6	6	6
C0030436	parakeratosis	6	6	7
C0338591	amnesia, transient global	6	6	9
C4025663	abnormality of the tibia	6	6	9
C0424290	compulsive hoarding	6	6	7
C3266101	22q11 partial monosomy syndrome	6	6	7
C0043325	xanthomatosis	6	6	7
C0265554	ectrodactyly	6	6	6
C0026205	miosis disorder	6	6	6
C0162770	right ventricular hypertrophy	6	6	6
C1860450	calcaneovalgus deformity	6	6	7
C0033805	pseudohypoaldosteronism	6	6	6
C4274355	autosomal dominant late onset parkinson disease	6	6	7
C3495498	cardiomyopathy, familial hypertrophic, 1 (disorder)	6	6	7
C0265290	metaphyseal chondrodysplasia	6	6	6
C1720189	episodic ataxia	6	6	7
C2936694	swyer syndrome	6	6	7
C0746102	chronic lung disease	6	6	6
C0220662	arthrogryposis, distal, type 1	6	6	6
C0023449	acute lymphocytic leukemia	6	6	7
C0162275	ketonuria	6	6	8
C4021584	frontotemporal cerebral atrophy	6	6	8
C1394691	bowel diverticula	6	6	6
C3805887	generalized osteoporosis with pathologic fractures	6	6	6
C0393591	aicardi-goutieres syndrome	6	6	6
C0013295	duodenal ulcer	6	6	6
C1866282	ceroid lipofuscinosis, neuronal, 6	6	6	6
C0040479	torsades de pointes	6	6	7
C1395674	bowel diverticulosis	6	6	6
C0152101	hypoplastic left heart syndrome	6	6	7
