C0000744	abetalipoproteinemia
C0154143	toxic multinodular goiter
C0154409	recurrent major depressive episodes
C0154676	organic writer's cramp
C0154681	anterior horn cell disease
C0154682	lateral sclerosis
C0154723	migraine with aura
C0154822	serous retinal detachment
C0154832	exudative retinopathy
C0154835	retinal telangiectasia
C0154850	cystoid macular retinal degeneration
C0154971	presenile cataract
C0155015	color blindness, red
C0155016	color blindness, red-green
C0155017	color blindness, blue
C0155116	descemet's membrane fold
C0155118	corneal degeneration
C0155119	recurrent erosion of cornea
C0155120	corneal dystrophy, band-shaped
C0155127	familial amyloid polyneuropathy, type v
C0155210	eyelid xanthoma
C0155285	orbital cyst
C0155299	coloboma of optic disc
C0155300	pseudopapilledema
C0155320	blindness, cortical
C0155411	exostosis of external ear canal
C0155552	hearing loss, mixed conductive-sensorineural
C0155912	pulmonary alveolar microlithiasis
C0155964	atrophy of tongue papillae
C0156273	bladder diverticulum
C0156312	atrophy of testis
C0156394	hypertrophy of clitoris
C0157917	pauciarticular juvenile rheumatoid arthritis
C0158113	contracture of joint of hand
C0158266	intervertebral disc degeneration
C0158465	acquired cubitus valgus
C0158551	embryonal nuclear cataract (disorder)
C0158646	cleft palate with cleft lip
C0158663	tongue absent
C0158667	aplasia of lacrimal and salivary glands
C0158683	polycystic liver disease
C0158713	bilateral congenital dislocation of hip
C0158731	congenital pectus carinatum
C0158733	hand polydactyly
C0158734	polydactyly of toes
C0158761	radioulnar synostosis
C0158779	cervical rib
C0158986	neonatal hypoglycemia
C0162275	ketonuria
C0162283	nephrogenic diabetes insipidus
C0162292	external ophthalmoplegia
C0162309	adrenoleukodystrophy
C0162316	iron deficiency anemia
C0162323	polyarthritis
C0162359	christ-siemens-touraine syndrome
C0162361	hidrotic ectodermal dysplasia
C0162429	malnutrition
C0162510	caroli disease
C0162530	porphyria, erythropoietic
C0162531	hereditary coproporphyria
C0162532	variegate porphyria
C0162538	immunoglobulin a deficiency (disorder)
C0162539	igg deficiency
C0162557	liver failure, acute
C0162565	acute intermittent porphyria
C0162566	porphyria cutanea tarda
C0162568	erythropoietic protoporphyria
C0162569	hepatoerythropoietic porphyria
C0162671	melas syndrome
C0162672	merrf syndrome
C0162674	chronic progressive external ophthalmoplegia
C0162739	hellp syndrome
C0162770	right ventricular hypertrophy
C0162809	kallmann syndrome
C0162835	hypopigmentation disorder
C0162836	hidradenitis suppurativa
C0162872	aortic aneurysm, thoracic
C0175683	citrullinemia
C0175691	dubowitz syndrome
C0175692	johanson-blizzard syndrome
C0175694	smith-lemli-opitz syndrome
C0175695	sotos' syndrome
C0175697	van der woude syndrome
C0175699	saethre-chotzen syndrome
C0175700	multiple synostosis syndrome
C0175701	aarskog syndrome
C0175702	williams syndrome
C0175703	thrombocytopenia-absent radius syndrome
C0175704	leopard syndrome
C0175707	asplenia syndrome
C0175754	agenesis of corpus callosum
C0175778	larsen syndrome
C0178416	hypoplastic anemia
C0178417	anhedonia
C0178421	fibroadenoma of breast
C0178664	glomerulosclerosis (disorder)
C0205700	asymmetric septal hypertrophy
C0205710	alpers syndrome (disorder)
C0205711	pelizaeus-merzbacher disease
C0205713	roussy-levy syndrome (disorder)
C0205748	dysplastic nevus
C0205768	subependymal giant cell astrocytoma
C0205770	choroid plexus papilloma
C0205824	liposarcoma, dedifferentiated
C0205929	anal fistula
C0206042	fatal familial insomnia
C0206061	pneumonia, interstitial
C0206115	wagr syndrome
C0206138	crest syndrome
C0206182	lymphomatoid papulosis
C0206307	canavan disease
C0206620	lymphangioma, cystic
C0206624	hepatoblastoma
C0206630	endometrial stromal sarcoma
C0206634	liposarcoma, myxoid
C0206655	alveolar rhabdomyosarcoma
C0206656	rhabdomyosarcoma, embryonal
C0206657	alveolar soft part sarcoma
C0206661	gonadoblastoma
C0206667	adrenal cortical adenoma
C0206669	hepatocellular adenoma
C0206682	follicular thyroid carcinoma
C0206684	sebaceous adenocarcinoma
C0206686	adrenocortical carcinoma
C0206698	cholangiocarcinoma
C0206711	pilomatrixoma
C0206718	ganglioneuroblastoma
C0206726	gliosarcoma
C0206729	neurofibrosarcoma
C0206731	angiofibroma
C0206732	epithelioid hemangioendothelioma
C0206733	strawberry nevus of skin
C0220633	uveal melanoma
C0220636	malignant neoplasm of salivary gland
C0220658	pfeiffer syndrome
C0220659	acrodysostosis
C0220662	arthrogryposis, distal, type 1
C0220663	blepharophimosis, ptosis, and epicanthus inversus (disorder)
C0220664	brachydactyly, type d
C0220666	arthrogryposis multiplex congenita, distal, type iia
C0220668	congenital contractural arachnodactyly
C0220669	familial benign neonatal epilepsy
C0220685	achondrogenesis type 2
C0220687	kbg syndrome
C0220693	microcephaly autosomal dominant
C0220697	polydactyly, postaxial
C0220701	retinitis pigmentosa 1
C0220702	schizophrenia 1 (disorder)
C0220704	shprintzen syndrome
C0220708	vater association
C0220710	medium-chain acyl-coenzyme a dehydrogenase deficiency
C0220711	long chain acyl-coa dehydrogenase deficiency
C0220721	cataract, congenital or juvenile
C0220722	cerebrooculofacioskeletal syndrome 1
C0220726	diastrophic dysplasia
C0220730	fryns syndrome
C0220743	childhood hypophosphatasia (disorder)
C0220744	multiple gastrointestinal atresias (disorder)
C0220748	cartilage-hair hypoplasia
C0220754	biotinidase deficiency
C0220766	congenital hypoplasia of adrenal gland
C0220767	craniofrontonasal dysplasia
C0220769	fg syndrome
C0220983	metabolic alkalosis
C0220987	hereditary orotic aciduria
C0220988	xanthinuria
C0220989	acquired partial lipodystrophy
C0220991	rotor syndrome
C0220998	hypothalamic hypothyroidism
C0221002	hyperparathyroidism, primary
C0221014	reactive systemic amyloidosis
C0221018	hereditary sideroblastic anemia
C0221019	sickle cell-beta-thalassemia
C0221021	microangiopathic hemolytic anemia
C0221023	cyclic neutropenia
C0221026	x-linked agammaglobulinemia
C0221032	familial generalized lipodystrophy
C0221036	acrodermatitis enteropathica
C0221043	liddle syndrome
C0221052	chronic berylliosis
C0221054	welander distal myopathy
C0221055	paramyotonia congenita (disorder)
C0221060	mobius syndrome
C0221061	behr syndrome
C0221074	depression, postpartum
C0221168	podagra
C0221182	chordee
C0221209	pelvic kidney
C0221210	congenital malrotation of intestine
C0221214	vascular ring
C0221215	common atrioventricular canal
C0221217	neck webbing
C0221237	angular cheilitis
C0221252	eruptive xanthoma
C0221253	xanthoma tendinosum
C0221259	trichiasis
C0221260	dystrophia unguium
C0221262	poliosis
C0221290	chondromyxoid fibroma
C0221352	syndactyly of fingers
C0221353	horseshoe kidney
C0221354	frontal bossing
C0221355	macrocephaly
C0221356	brachycephaly
C0221357	brachydactyly
C0221358	long narrow head
C0221365	double ureter
C0221373	claw hand
C0221406	pituitary-dependent cushing's disease
C0221409	anemia, hereditary spherocytic hemolytic
C0221480	recurrent depression
C0221757	alpha 1-antitrypsin deficiency
C0221759	brachial plexus neuritis
C0221765	chronic schizophrenia
C0221766	diastasis recti
C0232939	primary physiologic amenorrhea
C0232940	secondary physiologic amenorrhea
C0233477	dysphoric mood
C0233593	eye poking
C0234144	dysgraphia
C0234517	anarthria speech disorder
C0234533	generalized seizures
C0234958	muscle degeneration
C0235025	peripheral motor neuropathy
C0235259	subcapsular cataract
C0235357	tooth hypoplasia
C0235480	paroxysmal atrial fibrillation
C0235527	heart failure, right-sided
C0235752	port-wine stain
C0235812	vitritis
C0235833	congenital diaphragmatic hernia
C0235927	vestibulocerebellar ataxia
C0235946	cerebral atrophy
C0236048	polyposis, gastric
C0236642	pick disease of the brain
C0236663	alcohol withdrawal syndrome
C0236701	cocaine-induced mood disorder
C0236788	bipolar ii disorder
C0237123	alcohol or other drugs use
C0238044	cardiomyopathy, concentric hypertrophic
C0238051	cerebral angiitis
C0238052	xanthomatosis, cerebrotendinous
C0238093	stenosis of duodenum
C0238111	lennox-gastaut syndrome
C0238115	boerhaave syndrome
C0238159	hemoglobin e disease
C0238207	ectopic kidney
C0238210	malrotation of kidney
C0238286	mucolipidosis type iv
C0238288	muscular dystrophy, facioscapulohumeral
C0238304	chronic interstitial nephritis
C0238339	hereditary pancreatitis
C0238357	hyperkalemic periodic paralysis
C0238358	hypokalemic periodic paralysis
C0238378	desquamative interstitial pneumonia
C0238394	female pseudohermaphroditism
C0238395	male pseudohermaphroditism
C0238397	pulmonary artery stenosis
C0238399	pulmonary lymphangiomyomatosis
C0238402	pycnodysostosis
C0238441	subglottic stenosis
C0238462	medullary carcinoma of thyroid
C0238463	papillary thyroid carcinoma
C0238506	congenital posterior urethral valves
C0238590	acrogeria
C0238621	aminoaciduria
C0238669	aortic root dilatation
C0239105	conjunctival telangiectasis
C0239119	lenticonus
C0239234	low set ears
C0239761	gonadal hypoplasia
C0239849	harlequin fetus
C0239946	fibrosis, liver
C0239981	hypoalbuminemia
C0240063	coloboma of iris
C0240295	mandibular hypoplasia
C0240309	hyperplasia of midface
C0240310	hypoplasia of the maxilla
C0240340	microdontia (disorder)
C0240412	muscle hematoma
C0240595	rotary nystagmus
C0240635	byzanthine arch palate
C0240679	pelvic girdle muscle atrophy
C0240880	rectoperineal fistula
C0240896	fundus coloboma
C0240912	vertical talus
C0241210	speech delay
C0241397	triphalangeal thumb
C0241423	atrophy of tongue
C0241908	hematuria, benign familial
C0241961	angiomyolipoma of kidney
C0242231	coronary stenosis
C0242287	isaacs syndrome
C0242292	mccune-albright syndrome
C0242343	panhypopituitarism
C0242350	erectile dysfunction
C0242387	mandibulofacial dysostosis
C0242528	azotemia
C0242567	opsoclonus
C0242584	autoimmune thrombocytopenia
C0242647	mucosa-associated lymphoid tissue lymphoma
C0242666	protein s deficiency
C0242770	bronchiolitis obliterans organizing pneumonia
C0242852	proliferative vitreoretinopathy
C0259771	steatocystoma multiplex
C0259817	xerosis
C0262404	cerebellar degeneration
C0262436	cardiac valvular dysplasia, x-linked
C0262587	parathyroid adenoma
C0262650	thymus abnormality
C0262655	recurrent urinary tract infection
C0262988	vasculitis of the skin
C0263006	perifolliculitis
C0263401	cutis marmorata
C0263402	telangiectasia macularis eruptiva perstans
C0263417	cutis verticis gyrata
C0263429	atrophoderma vermiculatum
C0263449	perioral dermatitis
C0263485	clastothrix
C0263490	brittle hair
C0263504	alopecia totalis
C0263505	alopecia universalis
C0263536	hypertrophy of nail
C0263537	onychogryposis
C0263625	subcutaneous calcification
C0263627	calcinosis universalis
C0264080	juvenile osteoporosis
C0264112	wedging of vertebra
C0264133	acquired flat foot
C0264142	spade-like hand
C0264303	laryngomalacia
C0264324	calcification of trachea
C0264353	bronchomalacia
C0264611	apraxia of phonation
C0264906	second degree atrioventricular block
C0264912	left anterior fascicular block
C0264913	left posterior fascicular block
C0264955	idiopathic arterial calcification of infancy
C0264969	aneurysm of celiac artery
C0265202	seckel syndrome
C0265205	robinow syndrome
C0265210	weaver syndrome
C0265211	marshall-smith syndrome
C0265213	distal arthrogryposis syndrome
C0265215	meckel-gruber syndrome
C0265216	x-linked hydrocephalus syndrome
C0265218	neu-laxova syndrome
C0265219	miller dieker syndrome
C0265220	pallister-hall syndrome
C0265221	walker-warburg congenital muscular dystrophy
C0265223	cohen syndrome
C0265224	freeman-sheldon syndrome
C0265226	hecht syndrome (disorder)
C0265227	schinzel-giedion syndrome
C0265233	cryptophthalmos syndrome
C0265234	branchio-oto-renal syndrome
C0265235	marshall syndrome
C0265241	franceschetti-klein syndrome
C0265245	nager syndrome
C0265246	townes syndrome
C0265251	oto-palato-digital syndrome type 1
C0265252	coffin-lowry syndrome
C0265257	genee-wiedemann syndrome
C0265259	popliteal pterygium syndrome
C0265260	chondrodysplasia, grebe type
C0265261	multiple pterygium syndrome
C0265264	holt-oram syndrome
C0265267	congenital hemidysplasia with ichthyosiform erythroderma and limb defects
C0265268	adams oliver syndrome
C0265269	lacrimoauriculodentodigital syndrome
C0265273	achondrogenesis type 1a
C0265274	achondrogenesis, type ib (disorder)
C0265275	jeune thoracic dystrophy
C0265279	kniest dysplasia
C0265280	spondylometaphyseal dysplasia, kozlowski type
C0265281	metatropic dwarfism
C0265282	fibrochondrogenesis
C0265283	atelosteogenesis, type 1
C0265286	dyggve-melchior-clausen syndrome
C0265287	acromicric dysplasia
C0265289	metaphyseal chondrodysplasia schmid type
C0265290	metaphyseal chondrodysplasia
C0265291	kenny-caffey syndrome
C0265292	schwartz-lelek syndrome
C0265293	frontometaphyseal dysplasia
C0265294	pyle metaphyseal dysplasia
C0265295	jansen type metaphyseal chondrodysplasia
C0265301	sclerosteosis
C0265306	greig cephalopolysyndactyly syndrome
C0265308	baller-gerold syndrome
C0265309	leri-weill dyschondrosteosis
C0265312	brachydactyly syndrome type e
C0265313	weill-marchesani syndrome
C0265319	fibrous skin tumor of tuberous sclerosis
C0265325	turcot syndrome (disorder)
C0265326	bannayan-riley-ruvalcaba syndrome
C0265331	autosomal dominant hypohidrotic ectodermal dysplasia syndrome (disorder)
C0265333	tricho-dento-osseous syndrome (disorder)
C0265334	pachyonychia congenita
C0265336	senter syndrome
C0265338	coffin-siris syndrome
C0265339	borjeson-forssman-lehmann syndrome
C0265341	rieger syndrome
C0265342	cerebrocostomandibular syndrome
C0265343	jarcho-levin syndrome
C0265344	donohue syndrome
C0265345	lymphedema distichiasis syndrome
C0265354	charge syndrome
C0265363	urethral obstruction sequence
C0265514	dermatofibrosis lenticularis disseminata
C0265529	plagiocephaly
C0265535	trigonocephaly
C0265552	congenital macrodactylia
C0265554	ectrodactyly
C0265559	acheiropodia
C0265563	congenital dislocation of radial head
C0265594	congenital absence of hand
C0265609	accessory carpal bone
C0265610	congenital clinodactyly
C0265642	talipes equinovalgus
C0265646	talipes calcaneovarus
C0265654	tarsal coalition
C0265660	syndactyly of the toes
C0265677	congenital hemivertebra
C0265681	supernumerary vertebra
C0265695	congenital fusion of ribs
C0265696	sternum bifidum
C0265706	gastroschisis
C0265736	congenital anomaly of nose
C0265740	arrhinia
C0265756	congenital atresia of larynx
C0265766	congenital atresia of trachea
C0265783	congenital hypoplasia of lung
C0265843	congenital atresia of aortic valve
C0265878	preductal coarctation of aorta
C0265881	congenital hypoplasia of aortic arch
C0265886	overriding aorta
C0265905	agenesis of pulmonary artery
C0265908	congenital atresia of pulmonary artery
C0265910	congenital hypoplasia of pulmonary artery
C0265914	anomalous pulmonary vein
C0265961	erythrokeratodermia variabilis
C0265962	ichthyosis linearis circumflexa
C0265964	mutilating keratoderma
C0265965	dyskeratosis congenita
C0265970	porokeratosis, disseminated superficial actinic
C0265971	acrokeratosis verruciformis of hopf
C0265985	mongolian spot
C0265987	nevus comedonicus
C0265989	congenital scar
C0265998	anonychia
C0266003	subungual fibroma
C0266004	knuckle pads, leuconychia and sensorineural deafness
C0266006	pili torti-deafness syndrome
C0266009	congenital absence of breast
C0266011	accessory nipple
C0266013	congenital hypoplasia of breast
C0266034	dens evaginatus
C0266036	macrodontia
C0266037	peg-shaped teeth
C0266039	taurodontism
C0266060	anterior open bite
C0266063	deep overbite
C0266067	posterior lingual occlusion of mandibular teeth
C0266081	congenital maxillary hyperplasia
C0266111	bifid tongue
C0266121	congenital absence of uvula
C0266122	cleft uvula
C0266174	duodenal atresia
C0266196	malrotation of colon
C0266200	microcolon
C0266231	ectopic anus
C0266249	gallbladder anomaly congenital
C0266251	gallbladder, agenesis of
C0266267	congenital hypoplasia of pancreas
C0266273	congenital absence of adrenal gland
C0266275	ectopic adrenal gland
C0266294	unilateral agenesis of kidney
C0266295	congenital hypoplasia of kidney
C0266298	accessory kidney
C0266313	allanson pantzar mcleod syndrome
C0266316	congenital hydronephrosis
C0266324	congenital dilatation of ureter
C0266345	congenital urethral valve
C0266357	persistent umbilical sinus
C0266361	true hermaphroditism (disorder)
C0266362	ambiguous genitalia
C0266368	congenital absence of ovary
C0266371	streak ovary
C0266387	bicornuate uterus
C0266393	congenital duplication of uterus
C0266399	infantile uterus
C0266411	septate vagina
C0266427	testicular regression syndrome
C0266432	leydig cell agenesis
C0266435	congenital hypoplasia of penis
C0266444	congenital absence of vas deferens
C0266456	meningoencephalocele
C0266463	lissencephaly
C0266464	polymicrogyria
C0266470	cerebellar hypoplasia
C0266483	pachygyria
C0266484	schizencephaly
C0266491	neuronal heterotopia
C0266501	spina bifida of cervical region
C0266525	irido-corneal dysgenesis
C0266526	norrie disease
